P,N,Run,Time
32,120,1,0.795306
32,120,2,0.819428
32,120,3,0.820499
32,120,4,0.797539
32,120,5,0.797452
32,240,1,6.524141
32,240,2,6.557557
32,240,3,6.567540
32,240,4,6.584210
32,240,5,6.604244
48,120,1,0.779303
48,120,2,0.778293
48,120,3,0.778673
48,120,4,0.777993
48,120,5,0.779266
48,240,1,7.033230
48,240,2,7.063557
48,240,3,7.053778
48,240,4,7.055325
48,240,5,7.074980
64,120,1,0.780518
64,120,2,0.786793
64,120,3,0.790216
64,120,4,0.787650
64,120,5,0.784995
64,240,1,6.727177
64,240,2,6.752378
64,240,3,6.755093
64,240,4,6.766050
64,240,5,6.771201
96,120,1,0.796809
96,120,2,0.793265
96,120,3,0.803450
96,120,4,0.789165
96,120,5,0.790443
96,240,1,6.981396
96,240,2,6.988023
96,240,3,6.993386
96,240,4,6.974597
96,240,5,6.998718
